Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2017-10-31,231.1627,16.7964,25079550,8.1055,18.9738,TXF,Technology
2017-11-30,245.4701,16.8142,32920120,19.4006,18.94,TXF,Technology
2017-12-31,243.4108,16.5035,20129150,2.5125,18.9167,TXF,Technology
2018-01-31,272.741,17.375,27966110,6.9699,19.9003,TXF,Technology
2018-02-28,295.0443,17.5839,42818430,14.2488,20.1634,TXF,Technology
2018-03-31,286.1704,16.8482,37342940,3.2177,19.5972,TXF,Technology
2018-04-30,289.2274,16.6835,25350730,4.17,19.423,TXF,Technology
2018-05-31,311.6213,17.7582,16227350,2.658,20.666,TXF,Technology
2018-06-30,309.7068,17.2334,28173850,5.3832,20.4553,TXF,Technology
2018-07-31,320.9286,17.2401,18574900,9.6664,20.4079,TXF,Technology
2018-08-31,331.2109,17.6934,16772870,1.7418,21.0002,TXF,Technology
2018-09-30,327.9092,17.5197,23923360,-2.5965,21.1511,TXF,Technology
2018-10-31,285.7122,15.7094,42370800,-7.1598,18.9419,TXF,Technology
2018-11-30,279.2612,15.8213,24076780,-8.2921,19.1109,TXF,Technology
2018-12-31,246.6278,14.17,23597110,-6.0002,17.6638,TXF,Technology
2019-01-31,263.3062,15.2668,22770620,-0.7516,18.9405,TXF,Technology
2019-02-28,277.9652,15.8765,13442720,2.3617,19.6843,TXF,Technology
2019-03-31,282.8739,16.0956,19884430,2.4125,20.3185,TXF,Technology
2019-04-30,302.1977,17.0888,19416660,0.8763,21.6343,TXF,Technology
2019-05-31,276.2112,15.2696,19845070,-0.0704,19.3443,TXF,Technology
2019-06-30,293.9635,15.9549,16059500,-1.5989,20.5907,TXF,Technology
2019-07-31,303.9056,16.4697,15499100,-1.6565,21.2608,TXF,Technology
2019-08-31,296.0081,15.8787,14539950,0.0364,20.4232,TXF,Technology
2019-09-30,290.3969,15.6639,13646940,-2.423,20.5277,TXF,Technology
2019-10-31,293.4012,16.0127,15935070,-2.3364,20.987,TXF,Technology
2019-11-30,323.4423,16.5654,10627010,-3.2484,21.7089,TXF,Technology
2019-12-31,322.7195,16.7692,10777370,-3.3049,22.3673,TXF,Technology
2020-01-31,325.6428,16.987,17234280,-2.6034,22.6812,TXF,Technology
2020-02-29,292.1506,15.9965,27231590,-6.0301,21.479,TXF,Technology
2020-03-31,249.3064,13.8176,39904210,5.8299,18.8265,TXF,Technology
2020-04-30,284.9622,15.4178,23547290,5.1386,21.1388,TXF,Technology
2020-05-31,304.1026,16.5907,19082610,0.849,22.7396,TXF,Technology
2020-06-30,319.5822,17.0241,38544510,5.9819,23.9199,TXF,Technology
2020-07-31,342.7254,17.8176,20334690,1.7432,24.9751,TXF,Technology
2020-08-31,367.7423,19.4571,17288630,-3.653,27.3671,TXF,Technology
2020-09-30,354.4877,18.5271,34853250,1.9087,26.9375,TXF,Technology
2020-10-31,345.3022,17.8955,31332690,1.6877,25.9651,TXF,Technology
2020-11-30,386.6102,20.0202,31893280,2.8233,29.1436,TXF,Technology
2020-12-31,375.7931,19.6032,31835140,8.0231,29.6613,TXF,Technology
2021-01-31,386.2253,19.5624,32752420,9.0218,29.5406,TXF,Technology
2021-02-28,393.16,20.1081,35536370,3.167,30.4161,TXF,Technology
