Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2025-09-30,728.8621,64.6441,88114120,56.0182,82.8979,NANR,Energy
2025-10-31,710.2343,63.1319,26335810,-1.5805,80.9948,NANR,Energy
2015-10-30,663.33,5.1,,-8.4734,5.1,ICPAX,Energy
2015-11-30,636.17,4.99,,-12.8581,4.99,ICPAX,Energy
2015-12-31,530.06,4.31,,-20.1848,4.34,ICPAX,Energy
2016-01-29,508.15,4.16,,-3.9209,4.19,ICPAX,Energy
2016-02-29,496.36,4.03,,3.0968,4.06,ICPAX,Energy
2016-03-31,551.84,4.47,,0.7392,4.5,ICPAX,Energy
2016-04-29,595.09,4.85,,-3.5408,4.88,ICPAX,Energy
2016-05-31,584.29,4.8,,-4.7916,4.83,ICPAX,Energy
2016-06-30,598.44,4.95,,-4.0031,4.99,ICPAX,Energy
2016-07-29,588.15,4.91,,-5.1414,4.95,ICPAX,Energy
2016-08-31,610.95,5.17,,-13.4803,5.21,ICPAX,Energy
2016-09-30,634.19,5.49,,-3.3796,5.53,ICPAX,Energy
2016-10-31,600.54,5.3,,-23.4122,5.34,ICPAX,Energy
2016-11-30,663.93,5.93,,-6.9097,5.97,ICPAX,Energy
2016-12-30,660.22,5.93,,-9.0985,5.98,ICPAX,Energy
2017-01-31,656.35,5.99,,-21.4702,6.04,ICPAX,Energy
2017-02-28,616.45,5.67,,-6.5386,5.72,ICPAX,Energy
2017-03-31,582.72,5.5,,-37.5437,5.55,ICPAX,Energy
2017-04-28,539.38,5.16,,-20.3681,5.21,ICPAX,Energy
2017-05-31,506.19,4.95,,-13.0311,4.99,ICPAX,Energy
2017-06-30,506.19,4.88,,-13.0311,4.92,ICPAX,Energy
2017-07-31,477.07,4.91,,-25.4646,4.95,ICPAX,Energy
2017-08-31,432.02,4.61,,-15.2609,4.65,ICPAX,Energy
2017-09-29,463.7,5.08,,-11.1192,5.13,ICPAX,Energy
2017-10-31,439.68,5.03,,-14.8263,5.07,ICPAX,Energy
2017-11-30,433.31,5.13,,-13.7808,5.18,ICPAX,Energy
2017-12-29,438.34,5.48,,-19.3566,5.54,ICPAX,Energy
2018-01-31,422.73,5.45,,-9.7999,5.5,ICPAX,Energy
2018-02-28,371.3,4.9,,-6.6331,4.95,ICPAX,Energy
2018-03-30,356.7,4.99,,-13.2556,5.04,ICPAX,Energy
2018-04-30,356.7,5.48,,-13.2556,5.54,ICPAX,Energy
2018-05-31,356.7,5.57,,-13.2556,5.63,ICPAX,Energy
2018-06-29,356.7,5.45,,-13.2556,5.5,ICPAX,Energy
2018-07-31,360.26,5.6,,-31.0484,5.66,ICPAX,Energy
2018-08-31,339.31,5.43,,-6.5862,5.48,ICPAX,Energy
2018-09-28,327.69,5.39,,-6.818,5.44,ICPAX,Energy
2018-10-31,279.54,4.72,,-6.0299,4.77,ICPAX,Energy
2018-11-30,254.49,4.44,,-5.6175,4.48,ICPAX,Energy
2018-12-31,207.95,3.76,,-6.3817,3.82,ICPAX,Energy
2019-01-31,233.83,4.35,,-3.5563,4.42,ICPAX,Energy
2019-02-28,234.38,4.45,,-4.0419,4.52,ICPAX,Energy
2019-03-29,234,4.54,,-4.2872,4.61,ICPAX,Energy
2019-04-30,230.14,4.6,,-5.2395,4.67,ICPAX,Energy
2019-05-31,196.78,4.03,,-4.4059,4.1,ICPAX,Energy
2019-06-28,207.36,4.38,,-4.9372,4.45,ICPAX,Energy
2019-07-31,197.03,4.28,,-4.6494,4.35,ICPAX,Energy
